CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
CHLD 4 173.933594 1570340030.6092
CHLD 5 92.996094 1570340030.6092
CHLD 6 147.203125 1570340030.6092
CHLD 7 388.402344 1570340030.6092
CHLD 8 104.500000 1570340030.6092
MEM 31.367188 1570340030.7374
CHLD 0 31.617188 1570340030.7404
CHLD 1 105.863281 1570340030.7404
CHLD 2 1088.492188 1570340030.7404
CHLD 3 452.230469 1570340030.7404
CHLD 4 174.496094 1570340030.7404
CHLD 5 93.878906 1570340030.7404
CHLD 6 148.390625 1570340030.7404
CHLD 7 389.160156 1570340030.7404
CHLD 8 105.703125 1570340030.7404
MEM 31.367188 1570340030.8596
CHLD 0 31.617188 1570340030.8626
CHLD 1 106.750000 1570340030.8626
CHLD 2 1122.332031 1570340030.8626
CHLD 3 452.917969 1570340030.8626
CHLD 4 175.058594 1570340030.8626
CHLD 5 94.511719 1570340030.8626
CHLD 6 149.472656 1570340030.8626
CHLD 7 389.839844 1570340030.8626
CHLD 8 106.882812 1570340030.8626
MEM 31.367188 1570340030.9838
CHLD 0 31.617188 1570340030.9868
CHLD 1 107.382812 1570340030.9868
CHLD 2 995.031250 1570340030.9868
